year,soc_occupation_code,soc_major,soc_minor,soc_unit,description,sex,emp_type,fp_time,value
2011,1150,1,15,0,Financial institution managers and directors,male,self-employed,part,
2011,1150,1,15,0,Financial institution managers and directors,female,self-employed,part,
2011,116,1,16,,Managers and Directors in Transport and Logistics,male,employees,full,131455.0
2011,116,1,16,,Managers and Directors in Transport and Logistics,female,employees,full,20084.0
2011,116,1,16,,Managers and Directors in Transport and Logistics,male,employees,part,
2011,116,1,16,,Managers and Directors in Transport and Logistics,female,employees,part,
2011,116,1,16,,Managers and Directors in Transport and Logistics,male,self-employed,full,10101.0
2011,116,1,16,,Managers and Directors in Transport and Logistics,female,self-employed,full,
2011,116,1,16,,Managers and Directors in Transport and Logistics,male,self-employed,part,
2011,116,1,16,,Managers and Directors in Transport and Logistics,female,self-employed,part,
2011,1161,1,16,1,Managers and directors in transport and distribution,male,employees,full,61824.0
2011,1161,1,16,1,Managers and directors in transport and distribution,female,employees,full,
2011,1161,1,16,1,Managers and directors in transport and distribution,male,employees,part,
2011,1161,1,16,1,Managers and directors in transport and distribution,female,employees,part,
2011,1161,1,16,1,Managers and directors in transport and distribution,male,self-employed,full,10101.0
2011,1161,1,16,1,Managers and directors in transport and distribution,female,self-employed,full,
2011,1161,1,16,1,Managers and directors in transport and distribution,male,self-employed,part,
2011,1161,1,16,1,Managers and directors in transport and distribution,female,self-employed,part,
2011,1162,1,16,2,Managers and directors in storage and warehousing,male,employees,full,69631.0
2011,1162,1,16,2,Managers and directors in storage and warehousing,female,employees,full,14567.0
2011,1162,1,16,2,Managers and directors in storage and warehousing,male,employees,part,
2011,1162,1,16,2,Managers and directors in storage and warehousing,female,employees,part,
2011,1162,1,16,2,Managers and directors in storage and warehousing,male,self-employed,full,
2011,1162,1,16,2,Managers and directors in storage and warehousing,female,self-employed,full,
2011,1162,1,16,2,Managers and directors in storage and warehousing,male,self-employed,part,
2011,1162,1,16,2,Managers and directors in storage and warehousing,female,self-employed,part,
2011,117,1,17,,Senior Officers in Protective Services,male,employees,full,43819.0
2011,117,1,17,,Senior Officers in Protective Services,female,employees,full,
2011,117,1,17,,Senior Officers in Protective Services,male,employees,part,
2011,117,1,17,,Senior Officers in Protective Services,female,employees,part,
2011,117,1,17,,Senior Officers in Protective Services,male,self-employed,full,
2011,117,1,17,,Senior Officers in Protective Services,female,self-employed,full,
2011,117,1,17,,Senior Officers in Protective Services,male,self-employed,part,
2011,117,1,17,,Senior Officers in Protective Services,female,self-employed,part,
2011,1171,1,17,1,Officers in armed forces,male,employees,full,20457.0
2011,1171,1,17,1,Officers in armed forces,female,employees,full,
2011,1171,1,17,1,Officers in armed forces,male,employees,part,
2011,1171,1,17,1,Officers in armed forces,female,employees,part,
2011,1171,1,17,1,Officers in armed forces,male,self-employed,full,
2011,1171,1,17,1,Officers in armed forces,female,self-employed,full,
2011,1171,1,17,1,Officers in armed forces,male,self-employed,part,
2011,1171,1,17,1,Officers in armed forces,female,self-employed,part,
2011,1172,1,17,2,Senior police officers,male,employees,full,13302.0
2011,1172,1,17,2,Senior police officers,female,employees,full,
2011,1172,1,17,2,Senior police officers,male,employees,part,
2011,1172,1,17,2,Senior police officers,female,employees,part,
2011,1172,1,17,2,Senior police officers,male,self-employed,full,
2011,1172,1,17,2,Senior police officers,female,self-employed,full,
2011,1172,1,17,2,Senior police officers,male,self-employed,part,
2011,1172,1,17,2,Senior police officers,female,self-employed,part,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",male,employees,full,10060.0
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",female,employees,full,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",male,employees,part,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",female,employees,part,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",male,self-employed,full,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",female,self-employed,full,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",male,self-employed,part,
2011,1173,1,17,3,"Senior officers in fire, ambulance, prison and related services",female,self-employed,part,
2011,118,1,18,,Health and Social Services Managers and Directors,male,employees,full,23261.0
2011,118,1,18,,Health and Social Services Managers and Directors,female,employees,full,65383.0
2011,118,1,18,,Health and Social Services Managers and Directors,male,employees,part,
2011,118,1,18,,Health and Social Services Managers and Directors,female,employees,part,
2011,118,1,18,,Health and Social Services Managers and Directors,male,self-employed,full,
2011,118,1,18,,Health and Social Services Managers and Directors,female,self-employed,full,
2011,118,1,18,,Health and Social Services Managers and Directors,male,self-employed,part,
2011,118,1,18,,Health and Social Services Managers and Directors,female,self-employed,part,
2011,1181,1,18,1,Health services and public health managers and directors,male,employees,full,15259.0
2011,1181,1,18,1,Health services and public health managers and directors,female,employees,full,30190.0
2011,1181,1,18,1,Health services and public health managers and directors,male,employees,part,
2011,1181,1,18,1,Health services and public health managers and directors,female,employees,part,
2011,1181,1,18,1,Health services and public health managers and directors,male,self-employed,full,
2011,1181,1,18,1,Health services and public health managers and directors,female,self-employed,full,
2011,1181,1,18,1,Health services and public health managers and directors,male,self-employed,part,
2011,1181,1,18,1,Health services and public health managers and directors,female,self-employed,part,
2011,1184,1,18,4,Social services managers and directors,male,employees,full,
2011,1184,1,18,4,Social services managers and directors,female,employees,full,35193.0
2011,1184,1,18,4,Social services managers and directors,male,employees,part,
2011,1184,1,18,4,Social services managers and directors,female,employees,part,
2011,1184,1,18,4,Social services managers and directors,male,self-employed,full,
2011,1184,1,18,4,Social services managers and directors,female,self-employed,full,
2011,1184,1,18,4,Social services managers and directors,male,self-employed,part,
2011,1184,1,18,4,Social services managers and directors,female,self-employed,part,
2011,119,1,19,,Managers and Directors in Retail and Wholesale,male,employees,full,157956.0
2011,119,1,19,,Managers and Directors in Retail and Wholesale,female,employees,full,94410.0
2011,119,1,19,,Managers and Directors in Retail and Wholesale,male,employees,part,
2011,119,1,19,,Managers and Directors in Retail and Wholesale,female,employees,part,17183.0
2011,119,1,19,,Managers and Directors in Retail and Wholesale,male,self-employed,full,33479.0
2011,119,1,19,,Managers and Directors in Retail and Wholesale,female,self-employed,full,11030.0
2011,119,1,19,,Managers and Directors in Retail and Wholesale,male,self-employed,part,
2011,119,1,19,,Managers and Directors in Retail and Wholesale,female,self-employed,part,
2011,1190,1,19,0,Managers and directors in retail and wholesale,male,employees,full,157956.0
2011,1190,1,19,0,Managers and directors in retail and wholesale,female,employees,full,94410.0
2011,1190,1,19,0,Managers and directors in retail and wholesale,male,employees,part,
2011,1190,1,19,0,Managers and directors in retail and wholesale,female,employees,part,17183.0
2011,1190,1,19,0,Managers and directors in retail and wholesale,male,self-employed,full,33479.0
2011,1190,1,19,0,Managers and directors in retail and wholesale,female,self-employed,full,11030.0
2011,1190,1,19,0,Managers and directors in retail and wholesale,male,self-employed,part,
2011,1190,1,19,0,Managers and directors in retail and wholesale,female,self-employed,part,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,male,employees,full,16350.0
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,female,employees,full,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,male,employees,part,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,female,employees,part,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,male,self-employed,full,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,female,self-employed,full,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,male,self-employed,part,
2011,121,1,21,,Managers and Proprietors in Agriculture Related Services,female,self-employed,part,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,male,employees,full,12271.0
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,female,employees,full,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,male,employees,part,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,female,employees,part,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,male,self-employed,full,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,female,self-employed,full,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,male,self-employed,part,
2011,1211,1,21,1,Managers and proprietors in agriculture and horticulture,female,self-employed,part,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",male,employees,full,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",female,employees,full,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",male,employees,part,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",female,employees,part,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",male,self-employed,full,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",female,self-employed,full,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",male,self-employed,part,
2011,1213,1,21,3,"Managers and proprietors in forestry, fishing and related services",female,self-employed,part,
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,male,employees,full,93798.0
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,female,employees,full,52738.0
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,male,employees,part,
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,female,employees,part,12144.0
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,male,self-employed,full,39071.0
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,female,self-employed,full,30063.0
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,male,self-employed,part,
2011,122,1,22,,Managers and Proprietors in Hospitality and Leisure Services,female,self-employed,part,
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,male,employees,full,11450.0
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,female,employees,full,
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,male,employees,part,
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,female,employees,part,
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,male,self-employed,full,
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,female,self-employed,full,10150.0
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,male,self-employed,part,
2011,1221,1,22,1,Hotel and accommodation managers and proprietors,female,self-employed,part,
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,male,employees,full,37241.0
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,female,employees,full,23295.0
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,male,employees,part,
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,female,employees,part,
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,male,self-employed,full,24107.0
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,female,self-employed,full,15171.0
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,male,self-employed,part,
2011,1223,1,22,3,Restaurant and catering establishment managers and proprietors,female,self-employed,part,
2011,1224,1,22,4,Publicans and managers of licensed premises,male,employees,full,14338.0
2011,1224,1,22,4,Publicans and managers of licensed premises,female,employees,full,9895.0
2011,1224,1,22,4,Publicans and managers of licensed premises,male,employees,part,
2011,1224,1,22,4,Publicans and managers of licensed premises,female,employees,part,
2011,1224,1,22,4,Publicans and managers of licensed premises,male,self-employed,full,
2011,1224,1,22,4,Publicans and managers of licensed premises,female,self-employed,full,
2011,1224,1,22,4,Publicans and managers of licensed premises,male,self-employed,part,
2011,1224,1,22,4,Publicans and managers of licensed premises,female,self-employed,part,
2011,1225,1,22,5,Leisure and sports managers,male,employees,full,28822.0
2011,1225,1,22,5,Leisure and sports managers,female,employees,full,14118.0
2011,1225,1,22,5,Leisure and sports managers,male,employees,part,
2011,1225,1,22,5,Leisure and sports managers,female,employees,part,
2011,1225,1,22,5,Leisure and sports managers,male,self-employed,full,
2011,1225,1,22,5,Leisure and sports managers,female,self-employed,full,
2011,1225,1,22,5,Leisure and sports managers,male,self-employed,part,
2011,1225,1,22,5,Leisure and sports managers,female,self-employed,part,
2011,1226,1,22,6,Travel agency managers and proprietors,male,employees,full,
2011,1226,1,22,6,Travel agency managers and proprietors,female,employees,full,
2011,1226,1,22,6,Travel agency managers and proprietors,male,employees,part,
2011,1226,1,22,6,Travel agency managers and proprietors,female,employees,part,
2011,1226,1,22,6,Travel agency managers and proprietors,male,self-employed,full,
2011,1226,1,22,6,Travel agency managers and proprietors,female,self-employed,full,
2011,1226,1,22,6,Travel agency managers and proprietors,male,self-employed,part,
2011,1226,1,22,6,Travel agency managers and proprietors,female,self-employed,part,
2011,124,1,24,,Managers and Proprietors in Health and Care Services,male,employees,full,13890.0
2011,124,1,24,,Managers and Proprietors in Health and Care Services,female,employees,full,38719.0
2011,124,1,24,,Managers and Proprietors in Health and Care Services,male,employees,part,
2011,124,1,24,,Managers and Proprietors in Health and Care Services,female,employees,part,
2011,124,1,24,,Managers and Proprietors in Health and Care Services,male,self-employed,full,
2011,124,1,24,,Managers and Proprietors in Health and Care Services,female,self-employed,full,
2011,124,1,24,,Managers and Proprietors in Health and Care Services,male,self-employed,part,
2011,124,1,24,,Managers and Proprietors in Health and Care Services,female,self-employed,part,
2011,1241,1,24,1,Health care practice managers,male,employees,full,
2011,1241,1,24,1,Health care practice managers,female,employees,full,9975.0
2011,1241,1,24,1,Health care practice managers,male,employees,part,
2011,1241,1,24,1,Health care practice managers,female,employees,part,
2011,1241,1,24,1,Health care practice managers,male,self-employed,full,
2011,1241,1,24,1,Health care practice managers,female,self-employed,full,
2011,1241,1,24,1,Health care practice managers,male,self-employed,part,
2011,1241,1,24,1,Health care practice managers,female,self-employed,part,
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",male,employees,full,10327.0
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",female,employees,full,28744.0
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",male,employees,part,
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",female,employees,part,
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",male,self-employed,full,
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",female,self-employed,full,
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",male,self-employed,part,
2011,1242,1,24,2,"Residential, day and domiciliary care managers and proprietors",female,self-employed,part,
2011,125,1,25,,Managers and Proprietors in Other Services,male,employees,full,189276.0
2011,125,1,25,,Managers and Proprietors in Other Services,female,employees,full,80438.0
2011,125,1,25,,Managers and Proprietors in Other Services,male,employees,part,
2011,125,1,25,,Managers and Proprietors in Other Services,female,employees,part,18276.0
2011,125,1,25,,Managers and Proprietors in Other Services,male,self-employed,full,136862.0
2011,125,1,25,,Managers and Proprietors in Other Services,female,self-employed,full,41640.0
2011,125,1,25,,Managers and Proprietors in Other Services,male,self-employed,part,17204.0
2011,125,1,25,,Managers and Proprietors in Other Services,female,self-employed,part,25272.0
2011,1251,1,25,1,"Property, housing and estate managers",male,employees,full,56215.0
2011,1251,1,25,1,"Property, housing and estate managers",female,employees,full,23913.0
2011,1251,1,25,1,"Property, housing and estate managers",male,employees,part,
2011,1251,1,25,1,"Property, housing and estate managers",female,employees,part,
2011,1251,1,25,1,"Property, housing and estate managers",male,self-employed,full,21798.0
2011,1251,1,25,1,"Property, housing and estate managers",female,self-employed,full,
2011,1251,1,25,1,"Property, housing and estate managers",male,self-employed,part,
2011,1251,1,25,1,"Property, housing and estate managers",female,self-employed,part,10421.0
2011,1252,1,25,2,Garage managers and proprietors,male,employees,full,20430.0
2011,1252,1,25,2,Garage managers and proprietors,female,employees,full,
2011,1252,1,25,2,Garage managers and proprietors,male,employees,part,
2011,1252,1,25,2,Garage managers and proprietors,female,employees,part,
2011,1252,1,25,2,Garage managers and proprietors,male,self-employed,full,10666.0
2011,1252,1,25,2,Garage managers and proprietors,female,self-employed,full,
2011,1252,1,25,2,Garage managers and proprietors,male,self-employed,part,
2011,1252,1,25,2,Garage managers and proprietors,female,self-employed,part,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,male,employees,full,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,female,employees,full,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,male,employees,part,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,female,employees,part,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,male,self-employed,full,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,female,self-employed,full,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,male,self-employed,part,
2011,1253,1,25,3,Hairdressing and beauty salon managers and proprietors,female,self-employed,part,
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,male,employees,full,17209.0
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,female,employees,full,
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,male,employees,part,
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,female,employees,part,
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,male,self-employed,full,63445.0
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,female,self-employed,full,22047.0
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,male,self-employed,part,9888.0
2011,1254,1,25,4,Shopkeepers and proprietors – wholesale and retail,female,self-employed,part,
2011,1255,1,25,5,Waste disposal and environmental services managers,male,employees,full,14245.0
2011,1255,1,25,5,Waste disposal and environmental services managers,female,employees,full,
2011,1255,1,25,5,Waste disposal and environmental services managers,male,employees,part,
2011,1255,1,25,5,Waste disposal and environmental services managers,female,employees,part,
2011,1255,1,25,5,Waste disposal and environmental services managers,male,self-employed,full,
2011,1255,1,25,5,Waste disposal and environmental services managers,female,self-employed,full,
2011,1255,1,25,5,Waste disposal and environmental services managers,male,self-employed,part,
2011,1255,1,25,5,Waste disposal and environmental services managers,female,self-employed,part,
2011,1259,1,25,9,Managers and proprietors in other services n.e.c.,male,employees,full,78941.0
