Title,CDID,Unit,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-24: Not in full-time education: UK: All: 000s: SA,AGNJ,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,AGNK,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-17: Not in full-time education: UK: All: 000s: SA,AGNH,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 18-24: Not in full-time education: UK: All: 000s: SA,AGNI,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Male: Aged 65+: 000s: SA,YCAE,,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-24: In full-time education: UK: Female: 000s: SA,AGPA,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-17: In full-time education: UK: Female: 000s: SA,AGOY,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 18-24: In full-time education: UK: Female: 000s: SA,AGOZ,000's,,,,,,,,,,,,,,,,,,,
AWE:Whole Economy:Real Terms:Regular Pay:Level (£):SA,A2FC,,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 18-24: In full-time education: UK: Male: 000s: SA,AGOW,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: All: Aged 35-49: %: SA,YCAP,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-24: In full-time education: UK: Male: 000s: SA,AGOX,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Female: Aged 25-34: %: SA,YCAO,%,,,,,,,,,,,,,,,,,,,
AWE:Whole Economy:Real Terms:Regular Pay: Three Month Growth:SA,A2FA,,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-24: In full-time education: UK: All: 000s: SA,AGOU,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Female: Aged 35-49: %: SA,YCAR,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-17: In full-time education: UK: Male: 000s: SA,AGOV,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Male: Aged 35-49: %: SA,YCAQ,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-17: In full-time education: UK: All: 000s: SA,AGOS,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Male: Aged 16-17: 000s: SA,YCAT,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 18-24: In full-time education: UK: All: 000s: SA,AGOT,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: All: Aged 16-17: 000s: SA,YCAS,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 18-24: Not in full-time educ.: UK: Female: 000s: SA,AGOQ,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: All: Aged 18-24: 000s: SA,YCAV,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-24: Not in full-time educ.: UK: Female: 000s: SA,AGOR,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Female: Aged 16-17: 000s: SA,YCAU,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,AGOO,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Male: Aged 16-17: %: SA,YCAH,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-17: Not in full-time educ.: UK: Female: 000s: SA,AGOP,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: All: Aged 16-17: %: SA,YCAG,%,,,,,,,,,,,,,,,,,,,
AWE:Whole Economy:Real Terms:Regular Pay:Single Month Growth: SA,A2F9,,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,AGOM,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: All: Aged 18-24: %: SA,YCAJ,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,AGON,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Female: Aged 16-17: %: SA,YCAI,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 18-24: Not in full-time education: UK: All: 000s: SA,AGOK,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Female: Aged 18-24: %: SA,YCAL,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-24: Not in full-time education: UK: All: 000s: SA,AGOL,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Male: Aged 18-24: %: SA,YCAK,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Male: Aged 25-34: %: SA,YCAN,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployed: Aged 16-17: Not in full-time education: UK: All: 000s: SA,AGOJ,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: All: Aged 25-34: %: SA,YCAM,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Male: 000s: SA,AGPX,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Male: 000s: SA,AGPY,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-24: In full-time education: UK: All: 000s: SA,AGPV,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Male: 000s: SA,AGPW,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-17: In full-time education: UK: All: 000s: SA,AGPT,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 18-24: In full-time education: UK: All: 000s: SA,AGPU,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 18-24: Not in full-time education.: UK: Female: 000s: SA,AGPR,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-24: Not in full-time education.: UK: Female: 000s: SA,AGPS,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,AGPP,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-17: Not in full-time education.: UK: Female: 000s: SA,AGPQ,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: Male: 000s: SA,AGPN,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,AGPO,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 18-24: Not in full-time education: UK: All: 000s: SA,AGPL,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-24: Not in full-time education: UK: All: 000s: SA,AGPM,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-17: Not in full-time education: UK: All: 000s: SA,AGPK,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: UK: Female: 000s: SA,YCCB,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: UK: Male: 000s: SA,YCCA,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees as a % of all employees: UK: Male: SA,YCCD,%,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees as a % of all employees: UK: All: 000s: SA,YCCC,%,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Could not find permanent job: UK: All: SA,YCCF,,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees as a % of all employees: UK: Female: SA,YCCE,%,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Could not find permanent: UK: Female: SA,YCCH,,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Could not find permanent job: UK: Male: SA,YCCG,,,,,,,,,,,,,,,,,,,,
LFS: Workers with second jobs: UK: Female: 000s: SA,YCBY,000's,,,,,,,,,,,,,,,,,,,
LFS: Workers with second jobs: UK: Male: 000s: SA,YCBX,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: UK: All: 000s: SA,YCBZ,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Some other reason: UK: All: 000s: SA,YCCR,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Contract with period of training: UK: Female: 000s: SA,YCCQ,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Some other reason: UK: Female: 000s: SA,YCCT,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Some other reason: UK: Male: 000s: SA,YCCS,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: UK: Male: 000s: SA,YCCV,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: UK: All: 000s: SA,YCCU,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Could not find full-time job: UK: All: 000s: SA,YCCX,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: UK: Female: 000s: SA,YCCW,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: % could not find permanent job: UK: Male: SA,YCCJ,%,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: % could not find permanent job: UK: All: SA,YCCI,%,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Did not want permanent job: UK: All: 000s: SA,YCCL,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: % could not find permanent job: UK: Female: SA,YCCK,%,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Did not want permanent job: UK: Female: SA,YCCN,,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Did not want permanent job: UK: Male: 000s: SA,YCCM,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Contract with period of training: UK: Male: 000's: SA,YCCP,000's,,,,,,,,,,,,,,,,,,,
LFS: Temporary employees: Contract with period of training: UK: All: 000's: SA,YCCO,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-17: Not in full-time education: UK: Female: %: SA,AIWM,%,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Female: Aged 25-34: 000s: SA,YCBA,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 18-24: Not in full-time education: UK: Female: %: SA,AIWN,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 18-24: Not in full-time education: UK: Male: %: SA,AIWK,%,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Male: Aged 35-49: 000s: SA,YCBC,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: Not in full-time education: UK: Male: %: SA,AIWL,%,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: All: Aged 35-49: 000s: SA,YCBB,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: Not in full-time education: UK: All: %: SA,AIWI,%,,,,,,,,,,,,,,,,,,,
LFS: In employment: Full-time: UK: All: 000s: SA,YCBE,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-17: Not in full-time education: UK: Male: %: SA,AIWJ,%,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Female: Aged 35-49: 000s: SA,YCBD,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-17: Not in full-time education: UK: All: %: SA,AIWG,%,,,,,,,,,,,,,,,,,,,
LFS: In employment: Full-time: UK: Female: 000s: SA,YCBG,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 18-24: Not in full-time education: UK: All: %: SA,AIWH,%,,,,,,,,,,,,,,,,,,,
LFS: In employment: Full-time: UK: Male: 000s: SA,YCBF,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Female: Aged 18-24: 000s: SA,YCAX,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: UK: Female: %: SA,AIWF,%,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Male: Aged 18-24: 000s: SA,YCAW,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: UK: Male: %: SA,AIWC,%,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: Male: Aged 25-34: 000s: SA,YCAZ,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically inactive: UK: All: Aged 25-34: 000s: SA,YCAY,000's,,,,,,,,,,,,,,,,,,,
LFS: Self-employed: Full-time: UK: All: 000s: SA,YCBQ,000's,,,,,,,,,,,,,,,,,,,
LFS: Employees: Part-time: UK: Female: 000s: SA,YCBP,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: UK: All: %: SA,AIVZ,%,,,,,,,,,,,,,,,,,,,
LFS: Self-employed: Full-time: UK: Female: 000s: SA,YCBS,000's,,,,,,,,,,,,,,,,,,,
LFS: Self-employed: Full-time: UK: Male: All: 000s: SA,YCBR,000's,,,,,,,,,,,,,,,,,,,
LFS: Self-employed: Part-time: UK: Male: 000s: SA,YCBU,000's,,,,,,,,,,,,,,,,,,,
LFS: Self-employed: Part-time: UK: All: 000s: SA,YCBT,000's,,,,,,,,,,,,,,,,,,,
LFS: Workers with second jobs: UK: All: 000s: SA,YCBW,000's,,,,,,,,,,,,,,,,,,,
LFS: Self-employed: Part-time: UK: Female: 000s: SA,YCBV,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Part-time: UK: Male: 000s: SA,YCBI,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Part-time: UK: All: 000s: SA,YCBH,000's,,,,,,,,,,,,,,,,,,,
LFS: Employees: Full-time: UK: All: 000s: SA,YCBK,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Part-time: UK: Female: 000s: SA,YCBJ,000's,,,,,,,,,,,,,,,,,,,
LFS: Employees: Full-time: UK: Female: 000s: SA,YCBM,000's,,,,,,,,,,,,,,,,,,,
LFS: Employees: Full-time: UK: Male: 000s: SA,YCBL,000's,,,,,,,,,,,,,,,,,,,
LFS: Employees: Part-time: UK: Male: 000s: SA,YCBO,000's,,,,,,,,,,,,,,,,,,,
LFS: Employees: Part-time: UK: All: 000s: SA,YCBN,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 18-24: In full-time education: UK: Female: 000s: SA,AGTF,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: In full-time education: UK: Female: %: SA,AIXH,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-17: In full-time education: UK: Female: 000s: SA,AGTD,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-17: In full-time education: UK: Female: %: SA,AIXF,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 18-24: In full-time education: UK: Female: %: SA,AIXG,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 18-24: In full-time education: UK: Male: %: SA,AIXD,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: In full-time education: UK: Male: %: SA,AIXE,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: In full-time education: UK: All: %: SA,AIXB,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-17: In full-time education: UK: Male: %: SA,AIXC,%,,,,,,,,,,,,,,,,,,,
Labour disputes;UK;Sic 07;total working days lost;all inds. & services (000's),BBFW,000's,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 18-24: In full-time education: UK: All: %: SA,AIXA,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-17: In full-time education: UK: All: %: SA,AIWY,%,,,,,,,,,,,,,,,,,,,
LFS: Employment rate: Aged 16-24: Not in full-time education: UK: Female: %: SA,AIWX,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: Female: Aged 16-64 (%): SA,LF23,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: UK: All: Aged 16-64 (%): SA,LF22,%,,,,,,,,,,,,,,,,,,,
LFS: In Employment: UK: Female: Aged 50-64: 000s: SA,LF27,000's,,,,,,,,,,,,,,,,,,,
LFS: In Employment: UK: All: Aged 50-64: 000s: SA,LF26,000's,,,,,,,,,,,,,,,,,,,
"Female employment rate (aged 16 to 64, seasonally adjusted)",LF25,%,,,,,,,,,,,,,,,,,,,
"Employment rate (aged 16 to 64, seasonally adjusted)",LF24,%,,,,,,,,,,,,,,,,,,,
LFS: Economic inactivity rate: Aged 16-24: UK: Male: %: SA,AIYO,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: % could not find full-time job: UK: Female: SA,YCDC,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: % could not find full-time job: UK: Male: SA,YCDB,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Did not want full-time job: UK: Male: 000s: SA,YCDE,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Did not want full-time job: UK: All: 000s: SA,YCDD,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Ill or disabled: UK: All: 000s: SA,YCDG,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic inactivity rate: Aged 16-24: UK: All: %: SA,AIYL,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Did not want full-time job: UK: Female: 000s: SA,YCDF,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: Female: %: SA,AIYI,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Ill or disabled: UK: Female: 000s: SA,YCDI,000's,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Ill or disabled: UK: Male: 000s: SA,YCDH,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: Female: %: SA,AIYG,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Could not find full-time job: UK: Female: 000s: SA,YCCZ,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: Female: %: SA,AIYH,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Could not find full-time job: UK: Male: 000s: SA,YCCY,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: Male: %: SA,AIYE,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: Male: %: SA,AIYF,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-24: In full-time educ.: UK: All: %: SA,AIYC,%,,,,,,,,,,,,,,,,,,,
Employment levels by nationality (16+) - UK national,JF6H,,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: Male: %: SA,AIYD,%,,,,,,,,,,,,,,,,,,,
Employment levels by nationality (16+) - Non-UK national,JF6I,,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-17: In full-time educ.: UK: All: %: SA,AIYA,%,,,,,,,,,,,,,,,,,,,
Employment levels by country of birth (16+) - UK born,JF6F,,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: % could not find full-time job: UK: All: SA,YCDA,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 18-24: In full-time educ.: UK: All: %: SA,AIYB,%,,,,,,,,,,,,,,,,,,,
Employment levels by country of birth (16+) - Non-UK born,JF6G,,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: Female: %: S,AIXZ,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: Female: %: S,AIXX,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: Female: %: S,AIXY,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: Male: %: SA,AIXV,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Student or at school: UK: Male: 000s: SA,YCDK,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: Male: %: SA,AIXW,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Student or at school: UK: All: 000s: SA,YCDJ,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-24: Not in full-time educ.: UK: All: %: SA,AIXT,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: Male: %: SA,AIXU,%,,,,,,,,,,,,,,,,,,,
LFS: Part-time workers: Student or at school: UK: Female: 000s: SA,YCDL,000's,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 16-17: Not in full-time educ.: UK: All: %: SA,AIXR,%,,,,,,,,,,,,,,,,,,,
LFS: Unemployment rate: Aged 18-24: Not in full-time educ.: UK: All: %: SA,AIXS,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactive: Aged 16-24: In full-time education: UK: Female: 000s: SA,AGTO,000's,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployed up to 6 months: UK: Female: Aged 16-64: 000s: SA,LF2Z,000's,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployed up to 6 months: UK: All: Aged 16-64: 000s: SA,LF2Y,000's,,,,,,,,,,,,,,,,,,,
LFS: Economic inactivity rate: UK: Female: Aged 50-64: %: SA,LF2X,%,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployed over 24 months: UK: Female: Aged 16-64: 000s: SA,LF39,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: Female: %: SA,AIZJ,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: Female: %: SA,AIZH,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: North West (GOR): Aged 16-64: All: %: SA,LF3D,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: Female: %: SA,AIZI,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: North East: Aged 16-64: All: %: SA,LF3C,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: Male: %: SA,AIZF,%,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Female: Aged 50-64: 000s: SA,LF3B,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: Male: %: SA,AIZG,%,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: All: Aged 50-64: 000s: SA,LF3A,000's,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-24: In full-time educ.: UK: All: %: SA,AIZD,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: East of England: Aged 16-64: All: %: SA,LF3H,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: Male: %: SA,AIZE,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: West Midlands: Aged 16-64: All: %: SA,LF3G,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 16-17: In full-time educ.: UK: All: %: SA,AIZB,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: East Midlands: Aged 16-64: All: %: SA,LF3F,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inactivity rate: Aged 18-24: In full-time educ.: UK: All: %: SA,AIZC,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: Yorks and Humber: Aged 16-64: All: %: SA,LF3E,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: England: Aged 16-64: All: %: SA,LF3L,%,,,,,,,,,,,,,,,,,,,
LFS: ILO unemployment rate: Aged 35-49: UK: All: %: SA,YCGV,%,,,,,,,,,,,,,,,,,,,
LFS: Econ. inact. rate: Aged 16-24: Not in full-time educ.: UK: Female: %: SA,AIZA,%,,,,,,,,,,,,,,,,,,,
LFS: Economic activity rate: South West: Aged 16-64: All: %: SA,LF3K,%,,,,,,,,,,,,,,,,,,,
